benchmark,prefetcher,noflags,small_llc,low_bandwidth,scramble_loads
GemsFDTD_trace2,ampm_lite_prefetcher,3.451062,3.451062,3.421578,3.422020
gcc_trace2,ampm_lite_prefetcher,0.338902,0.341356,0.180204,0.338457
lbm_trace2,ampm_lite_prefetcher,2.032195,1.788345,0.973808,2.002556
leslie3d_trace2,ampm_lite_prefetcher,1.622495,1.474238,0.728958,1.589029
libquantum_trace2,ampm_lite_prefetcher,3.268607,3.268607,3.198620,3.268555
mcf_trace2,ampm_lite_prefetcher,0.372489,0.246601,0.226229,0.375404
milc_trace2,ampm_lite_prefetcher,1.179510,1.110334,0.618329,1.168371
omnetpp_trace2,ampm_lite_prefetcher,2.269297,1.506685,1.865578,2.324651
GemsFDTD_trace2,ip_stride_prefetcher,3.448985,3.448985,3.423331,3.421484
gcc_trace2,ip_stride_prefetcher,0.307600,0.310867,0.185017,0.305057
lbm_trace2,ip_stride_prefetcher,1.523589,1.405808,0.875632,1.506175
leslie3d_trace2,ip_stride_prefetcher,1.407355,1.294314,0.715229,1.356844
libquantum_trace2,ip_stride_prefetcher,3.233852,3.233852,3.215352,3.233653
mcf_trace2,ip_stride_prefetcher,0.352930,0.238364,0.226528,0.355891
milc_trace2,ip_stride_prefetcher,1.132438,1.064607,0.610968,1.034779
omnetpp_trace2,ip_stride_prefetcher,2.216822,1.470771,1.830086,2.277619
GemsFDTD_trace2,next_line_prefetcher,3.423089,3.423089,3.389688,3.397509
gcc_trace2,next_line_prefetcher,0.283186,0.283138,0.144627,0.282915
lbm_trace2,next_line_prefetcher,1.607129,1.453750,0.933299,1.596911
leslie3d_trace2,next_line_prefetcher,1.380468,1.253972,0.713030,1.357452
libquantum_trace2,next_line_prefetcher,3.197897,3.197897,2.962544,3.197924
mcf_trace2,next_line_prefetcher,0.347329,0.215471,0.193541,0.349218
milc_trace2,next_line_prefetcher,1.163671,1.082735,0.614910,1.168962
omnetpp_trace2,next_line_prefetcher,1.845099,1.315318,1.133481,1.849390
GemsFDTD_trace2,skeleton,3.444995,3.444995,3.415248,3.411783
gcc_trace2,skeleton,0.291329,0.294287,0.185667,0.291667
lbm_trace2,skeleton,1.057604,0.999466,0.684243,1.051752
leslie3d_trace2,skeleton,0.985227,0.919237,0.604139,0.945135
libquantum_trace2,skeleton,3.148157,3.148157,2.935334,3.148150
mcf_trace2,skeleton,0.344332,0.233942,0.229525,0.346418
milc_trace2,skeleton,0.980482,0.926457,0.573269,0.956259
omnetpp_trace2,skeleton,2.191883,1.434578,1.828217,2.246997
GemsFDTD_trace2,stream_prefetcher,3.430123,3.430123,3.402006,3.418276
gcc_trace2,stream_prefetcher,0.275646,0.277761,0.148362,0.275980
lbm_trace2,stream_prefetcher,1.259321,1.178714,0.782835,1.260415
leslie3d_trace2,stream_prefetcher,1.031766,0.960953,0.620416,0.992141
libquantum_trace2,stream_prefetcher,3.169687,3.169687,2.946820,3.169719
mcf_trace2,stream_prefetcher,0.341985,0.233522,0.213901,0.346263
milc_trace2,stream_prefetcher,1.053728,0.997235,0.591967,1.032305
omnetpp_trace2,stream_prefetcher,2.210184,1.452058,1.828807,2.258449
